日期,小时,城市ID,城市名称,pid,省份,avg_onload,avg_domReady,avg_firstPaint,avg_dnsLookup,avg_firstByte,avg_responseTime,standard_deviation,pv
20140611,16,130700,张家口,130000,河北,2768,4848,49,0,670,611,6313,179
20140611,16,140800,运城,140000,山西,5808,2143,60,0,554,505,34117,348
20140611,16,150900,乌兰察布,150000,内蒙古,3321,1721,28,0,388,277,6255,63
20140611,16,159900,NULL,150000,内蒙古,8627,4013,232,0,678,542,111777,1446
20140611,16,210600,丹东,210000,辽宁,33812,4716,115,18,877,800,206727,92
20140611,16,220700,松原,220000,吉林,3344,2614,46,0,329,299,7264,141
20140611,16,230800,佳木斯,230000,黑龙江,6763,4057,793,0,1026,-186,24935,113
20140611,16,320800,淮安,320000,江苏,3656,2111,49,0,441,400,22429,585
20140611,16,330900,舟山,330000,浙江,4505,1237,36,0,204,187,23893,311
20140611,16,339900,NULL,330000,浙江,3617,2558,93,0,451,400,11272,1254
20140611,16,340100,合肥,340000,安徽,4289,3294,114,1,717,384,15220,1144
20140611,16,341000,黄山,340000,安徽,3181,3205,120,0,356,296,7085,79
20140611,16,350200,厦门,350000,福建,7294,3089,222,0,752,664,85246,1113
20140611,16,360300,萍乡,360000,江西,146471,2047,116,0,362,237,477478,24
20140611,16,370400,枣庄,370000,山东,11883,2971,87,0,523,-5147,133934,406
20140611,16,371300,临沂,370000,山东,3194,1912,109,0,349,306,12367,1607
20140611,16,410800,焦作,410000,河南,3751,2730,71,0,526,274,15620,309
20140611,16,411700,驻马店,410000,河南,4638,2908,301,0,425,337,10113,167
20140611,16,420900,孝感,420000,湖北,3323,2935,154,0,417,363,7758,107
20140611,16,429900,NULL,420000,湖北,4325,3044,151,0,631,582,15866,961
20140611,16,430100,长沙,430000,湖南,12021,2733,137,4,484,353,85104,1030
20140611,16,431000,郴州,430000,湖南,2487,2222,1040,0,438,406,7590,145
20140611,16,440200,韶关,440000,广东,8942,4984,4,0,557,517,43367,112
20140611,16,442000,中山,440000,广东,4044,3422,56,1,559,376,19629,528
20140611,16,450300,桂林,450000,广西,2670,1747,58,0,381,351,5281,291
20140611,16,451200,河池,450000,广西,3422,3050,24,0,648,573,9158,144
20140611,16,510900,遂宁,510000,四川,3109,3231,125,0,379,319,4591,46
20140611,16,511800,雅安,510000,四川,979,1971,33,0,316,297,1191,23
20140611,16,519900,NULL,510000,四川,4654,3303,140,0,508,-578,25681,1405
20140611,16,520100,贵阳,520000,贵州,4182,2655,55,0,563,521,18019,665
20140611,16,532900,大理,530000,云南,2729,1542,229,2,305,271,5973,75
20140611,16,610100,西安,610000,陕西,8384,4285,307,0,752,624,74411,2085
20140611,16,611000,商洛,610000,陕西,3041,3290,0,0,378,343,3962,27
20140611,16,621100,定西,620000,甘肃,5166,4409,45,0,413,349,15527,71
20140611,16,622900,临夏,620000,甘肃,3158,7248,138,0,370,343,4728,56
20140611,16,652300,昌吉,650000,新疆,3011,12768,165,0,1126,773,2291,15
20140611,16,130600,保定,130000,河北,7885,4014,104,0,686,643,23936,702
20140611,16,140700,晋中,140000,山西,5653,4424,350,0,729,665,41978,361
20140611,16,150800,巴彦淖尔,150000,内蒙古,62286,5209,0,0,1034,1004,391879,90
20140611,16,210500,本溪,210000,辽宁,3358,2679,49,0,569,477,6797,206
20140611,16,211400,葫芦岛,210000,辽宁,4225,2798,68,0,625,529,26089,359
20140611,16,220600,白山,220000,吉林,6989,1925,150,0,727,698,18038,193
20140611,16,222400,延边,220000,吉林,3548,1720,93,0,355,333,11339,149
20140611,16,230700,伊春,230000,黑龙江,85927,1911,84,0,282,200,431426,59
20140611,16,320700,连云港,320000,江苏,3517,3778,107,0,540,501,7244,394
20140611,16,330800,衢州,330000,浙江,7968,3192,138,0,530,391,73735,209
20140611,16,341800,宣城,340000,安徽,3505,3951,211,0,551,470,10117,290
20140611,16,349900,NULL,340000,安徽,5318,2365,628,0,461,348,48175,1520
20140611,16,350100,福州,350000,福建,7735,3716,87,0,467,422,65438,1815
20140611,16,360200,景德镇,360000,江西,3285,2352,1050,0,759,730,4907,32
20140611,16,361100,上饶,360000,江西,2849,2099,40,3,463,-1532,11012,214
20140611,16,370300,淄博,370000,山东,3579,3569,150,0,801,343,8434,729
20140611,16,371200,莱芜,370000,山东,2974,2213,96,0,457,419,9937,210
20140611,16,410700,新乡,410000,河南,7030,3595,235,0,521,492,75837,517
20140611,16,411600,周口,410000,河南,6274,3082,162,0,515,484,27912,147
20140611,16,420800,荆门,420000,湖北,3181,7240,17,0,1125,1062,5806,117
20140611,16,430900,益阳,430000,湖南,14443,4021,10,0,750,737,86428,95
20140611,16,439900,NULL,430000,湖南,3604,2968,36,5,561,422,14419,803
